0,0,0
20.75,36.63,30
20.75,56.61,30
20.75,76.59,30
20.75,96.57000000000001,30
20.75,100,30
20.75,100,30
21.0,100,30
20.75,100,30
20.75,100,30
20.75,100,30
20.75,100,30
20.75,100,30
20.75,100,30
20.75,100,30
20.75,100,30
21.0,100,30
20.75,100,30
20.75,100,30
20.75,100,30
20.75,100,30
20.75,100,30
20.75,100,30
20.75,100,30
20.75,100,30
20.75,100,30
20.75,100,30
20.75,100,30
20.75,100,30
20.25,100,30
20.5,100,30
21.0,100,30
21.0,100,30
21.0,100,30
21.0,100,30
21.25,100,30
21.0,100,30
21.0,100,30
21.25,100,30
21.25,100,30
21.0,100,30
21.25,100,30
21.0,100,30
21.25,100,30
21.25,100,30
21.25,100,30
21.25,100,30
21.25,100,30
21.25,100,30
21.25,100,30
21.25,100,30
21.0,100,30
21.25,100,30
21.25,100,30
21.25,100,30
21.0,100,30
21.25,100,30
21.25,100,30
21.25,100,30
21.25,100,30
21.25,100,30
